gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
womens,2018-03-12,0,1.0,0.751103372095,0.195632239435,0.019678322924,0.004595074716,0.001090788743,8.9384249e-05,1,204,Oregon State,90.25,Lexington,6
womens,2018-03-12,0,1.0,0.800672894573,0.229132508492,0.062786207234,0.001860713726,0.000469377951,8.9183353e-05,1,58,South Florida,88.61,Albany,6
womens,2018-03-12,0,1.0,0.647804434742,0.064898372767,0.026989196591,0.006604338847,0.000408901317,8.7153163e-05,1,2739,Green Bay,88.23,Spokane,7
womens,2018-03-12,0,1.0,0.713893158084,0.062812368697,0.03231130821,0.004406299514,0.000981264021,7.473352e-05,1,269,Marquette,86.9,Lexington,8
womens,2018-03-12,0,1.0,0.804972830945,0.19204079746,0.028810273533,0.003882867392,0.000815489297,5.807477e-05,1,142,Missouri,87.15,Lexington,5
womens,2018-03-12,0,1.0,0.793263929445,0.43330629994,0.005624225712,0.001487987219,0.000300093802,4.512388e-05,1,61,Georgia,85.65,Albany,4
womens,2018-03-12,0,1.0,0.809257377886,0.02250527548,0.009116038464,0.002067128546,0.00050803036,4.3413765e-05,1,130,Michigan,86.86,Lexington,7
womens,2018-03-12,0,1.0,0.760225084135,0.08126965214,0.027344594916,0.004897126998,0.000650677002,4.1648557e-05,1,9,Arizona State,87.74,Kansas City,7
womens,2018-03-12,0,1.0,0.625092111327,0.031227249361,0.016482098547,0.004515038318,0.00057482317,3.5256883e-05,1,197,Oklahoma State,86.06,Kansas City,9
womens,2018-03-12,0,1.0,0.657288576763,0.071014140875,0.015800995869,0.002835724787,0.000382148455,2.4885232e-05,1,2294,Iowa,85.55,Kansas City,6
womens,2018-03-12,0,1.0,0.399031148676,0.146874240483,0.019741696295,0.004144818208,0.000165220903,2.4540492e-05,1,201,Oklahoma,85.7,Spokane,12
womens,2018-03-12,0,1.0,0.605653224934,0.02701009044,0.011750614061,0.002235320911,7.5894913e-05,9.854234e-06,1,2571,South Dakota State,84.23,Spokane,8
womens,2018-03-12,0,1.0,0.550902266561,0.002895296949,0.001373675093,0.000336511715,5.9476516e-05,7.866853e-06,1,2390,Miami (FL),84.59,Albany,8
womens,2018-03-12,0,1.0,0.374907888673,0.011679919489,0.004600278163,0.000850793734,0.000100095312,5.7073e-06,1,183,Syracuse,83.57,Kansas City,8
